experiment,timebound_year,cumulative_cdr_gtco2,delta_co2_p05_ppm,delta_co2_p50_ppm,delta_co2_p95_ppm,fraction_p05,fraction_p50,fraction_p95
legacy_strict_pair,2040.0,81.36470588235294,6.850472898694477,7.4512606859758534,7.864535879525931,0.6552414149224718,0.7127062127003612,0.752235603821041
legacy_strict_pair,2100.0,988.0000000000011,50.34122276132251,59.91582219478386,66.7354181239512,0.39653694953010826,0.471955905289651,0.5256737456289928
legacy_strict_pair,2156.0,1835.435551448252,79.04067512589882,96.10383499791118,107.55210913798959,0.3351416067278934,0.4074913786175235,0.45603338541915933
legacy_strict_pair,2184.0,2013.8807318595173,77.22028535670177,95.71058764829235,108.6915303112392,0.2984107754564169,0.3698648683773289,0.4200285416700626
legacy_strict_pair,2200.0,2098.2875205981945,77.25562043411628,96.33010717731236,110.4205702415722,0.28653780702730747,0.3572842662603661,0.40954519386336724
legacy_strict_pair,2300.0,2625.8299502149275,85.88483135449951,104.03176804841752,124.4916175281997,0.25454625707340167,0.3083303157940665,0.36896940680965234
legacy_strict_pair,2400.0,3153.3723798316605,99.55513414271729,114.85228944063346,138.18643358051202,0.24570005196439162,0.28345312099463726,0.34104131548688654
reversal_zero_off_only,2040.0,81.36470588235294,6.827934915500123,7.426906181622087,7.838907165303397,0.6530856776155507,0.7103767268198261,0.7497842409416963
reversal_zero_off_only,2100.0,988.0000000000011,49.20348305384357,58.52239608393728,65.15147571355686,0.38757499333961215,0.4609799116787999,0.5131970583894507
reversal_zero_off_only,2156.0,1835.435551448252,76.24728849290011,92.53782907828003,103.4133035263228,0.3232973242378435,0.3923711009680381,0.43848437080840325
reversal_zero_off_only,2184.0,2013.8807318595173,73.54211981567448,90.9115766314211,103.0173459318604,0.28419683897217723,0.35131952640723285,0.3981011717709282
reversal_zero_off_only,2200.0,2098.2875205981945,73.10264888728028,90.85622074712688,103.96229235521537,0.27113461237311387,0.33698185454186225,0.38559171614445115
reversal_zero_off_only,2300.0,2625.8299502149275,79.37215237393622,94.73584184414574,113.0449575836281,0.23524391890869903,0.28077896377986744,0.33504369025493175
reversal_zero_off_only,2400.0,3153.3723798316605,90.74672017377014,102.27919591525784,122.0974610526564,0.22396106493443435,0.2524229811717186,0.30133405759217174
dynamic_permafrost_only,2040.0,81.36470588235294,6.857980313219798,7.46298635170092,7.874463274054108,0.6559594921981178,0.7138277618129873,0.7531851499521375
dynamic_permafrost_only,2100.0,988.0000000000011,50.995192885993504,60.37355237150854,67.50755467233853,0.40168826100202787,0.4755614380524692,0.5317558519967678
dynamic_permafrost_only,2156.0,1835.435551448252,79.78144947819669,96.85844395843952,109.47563868725018,0.3382825756816185,0.4106910079106678,0.4641893732406316
dynamic_permafrost_only,2184.0,2013.8807318595173,78.17318387033413,96.58297186193727,110.90729236941462,0.3020931651687934,0.3732361178940483,0.4285911527890547
dynamic_permafrost_only,2200.0,2098.2875205981945,78.25598293638188,97.24810722982676,112.76626662616746,0.2902481089577151,0.36068908937123284,0.41824528188566207
dynamic_permafrost_only,2300.0,2625.8299502149275,86.94241040270697,105.19398004923181,128.10284290784682,0.2576807196325618,0.31177489046537216,0.3796723899714105
dynamic_permafrost_only,2400.0,3153.3723798316605,100.46151889973237,116.01275728023205,142.62243300759968,0.24793699116211382,0.28631713208706006,0.3519892721054471
combined_programme_effect,2040.0,81.36470588235294,6.835433530728437,7.438608496437837,7.848825862161846,0.653802913246553,0.7114960424395114,0.7507329551487046
combined_programme_effect,2100.0,988.0000000000011,49.834221646233686,58.96735857097582,65.92571135971349,0.3925433104296264,0.4644848735686243,0.5192956993144046
combined_programme_effect,2156.0,1835.435551448252,77.01295079027125,93.24399058453685,105.26558508716187,0.3265438209579588,0.3953653074501985,0.4463382589163079
combined_programme_effect,2184.0,2013.8807318595173,74.51514805007145,91.66511274660388,105.13630551027978,0.28795701816118335,0.3542314982476295,0.40628969850371693
combined_programme_effect,2200.0,2098.2875205981945,74.14613392134436,91.69343874426022,106.16126889858617,0.2750048539380175,0.3400870604486217,0.3937476265222508
combined_programme_effect,2300.0,2625.8299502149275,80.16360173438801,95.83573033463193,116.4031197746109,0.23758962383923085,0.28403882345515463,0.3449966423988531
combined_programme_effect,2400.0,3153.3723798316605,91.45302656988537,103.23916874276051,125.7854942681384,0.2257042147952895,0.2547921746405726,0.31043604877015885
