target_year,criterion,status,extra_cdr_rate_gtco2_yr,total_post2183_cdr_rate_gtco2_yr,cumulative_extra_cdr_gtco2,cumulative_extra_reversal_gtco2,net_extra_removal_after_extra_reversal_gtco2,co2_p50_ppm,co2_p90_ppm,fraction_le_280,temp_p50_c,historical_program_peak_cdr_gtco2_yr,exceeds_historical_program_peak
2200,absolute_280_median,solved,27.3125,32.587924296167316,437.0,18.09813059270437,418.90186940729564,279.9920406842915,282.5409146891044,0.5053507728894173,1.0235042050714163,15.2,True
2200,member_relative_baseline_median,solved,29.125,34.400424296167316,466.0,19.299150700687044,446.70084929931295,278.013517198778,280.63900729442315,0.8252080856123662,1.010186295554714,15.2,True
2200,absolute_280_p90,solved,29.75,35.025424296167316,476.0,19.71329556550865,456.28670443449136,277.3355170357407,279.99242572506455,0.9001189060642093,1.006489925546449,15.2,True
2200,member_relative_baseline_p90,solved,30.390625,35.666049296167316,486.25,20.137794051950795,466.1122059480492,276.6394467566466,279.33019217255196,0.9441141498216409,1.0020064334045204,15.2,True
2300,absolute_280_median,solved,4.3671875,9.642611796167316,506.59375,20.98032001132227,485.61342998867775,279.98999105644106,283.34862020911254,0.5029726516052319,0.8181245068760666,15.2,False
2300,member_relative_baseline_median,solved,4.7890625,10.064486796167316,555.53125,23.007041443543024,532.524208556457,277.8788227123368,281.29191085755883,0.7752675386444708,0.7985791963494152,15.2,False
2300,absolute_280_p90,solved,5.0625,10.337924296167316,587.25,24.320657186649065,562.9293428133509,276.5456351765378,279.98179999832826,0.9001189060642093,0.7868455547204878,15.2,False
2300,member_relative_baseline_p90,solved,5.16796875,10.443393046167316,599.484375,24.827337544704257,574.6570374552957,276.02673258673815,279.4853615618011,0.9369797859690844,0.7819577902744232,15.2,False
2400,absolute_280_median,solved,1.78515625,7.060580546167316,385.59375,15.969167146980782,369.6245828530192,279.9973772132579,283.3328814815801,0.5005945303210464,0.7421788910299717,15.2,False
2400,member_relative_baseline_median,solved,2.052734375,7.328158671167316,443.390625,18.362795045379432,425.0278299546206,277.9342034363329,281.29681168022455,0.7693222354340071,0.7183762730042814,15.2,False
2400,absolute_280_p90,solved,2.22265625,7.498080546167316,480.09375,19.882836119544997,460.210913880455,276.61434803398754,279.9914640677411,0.9001189060642093,0.7029692895798225,15.2,False
2400,member_relative_baseline_p90,solved,2.3046875,7.580111796167316,497.8125,20.616649051900787,477.19585094809923,275.9806389429856,279.3541063453721,0.9369797859690844,0.6964243110098747,15.2,False
